naslov	opis
string	string
meta
Svet igrac (1995)	A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
James Bond - Zlato oko (1995)	James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent believed to be dead.
Stiri sobe (1995)	Four interlocking tales that take place in a fading hotel on New Year's Eve.
Kdo bo koga (1995)	A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.
Posnemovalec (1995)	An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
Yao a yao, yao dao wai po qiao (1995)	A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
12 Monkeys (2015– )	Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate the human race.
Babe (1995)	Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.
Zadnji sprehod (1995)	A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
Richard III (1995)	The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.
Sedem (1995)	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.
Osumljenih pet (1995)	A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.
Mogocna Afrodita (1995)	When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.
Postar (1994)	Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
Hollandov opus (1995)	A frustrated composer finds fulfillment as a high school music teacher.
Gazon maudit (1995)	After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
From Dusk Till Dawn (2014– )	A Texas Ranger is in hot pursuit of the infamous Gecko brothers.
Badkonake sefid (1995)	Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
Antonia (1995)	A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.
Angels and Insects (1995)	In the 1800s a naturalist marries into a family of British aristocrats.
Muppet Treasure Island (1996)	The Muppets' twist on the classic tale.
Pogumno srce (1995)	When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt and leads Scottish warriors against the cruel English tyrant who rules Scotland with an iron fist.
Taksist (1976)	A mentally unstable Vietnam war veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.

Pticja kletka (1996)	A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
The Brothers McMullen (1995)	Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.
Slabi fantje (1995)	Two hip detectives protect a murder witness while investigating a case of stolen heroin.
Apollo 13 (1995)	NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
